,url
46,b'https://banen.monsterboard.nl/erp-data-analyst-amsterdam-nh-nl-balr-b-v/b640ce7c-472b-498c-add3-64c9f31a9833'
47,b'https://banen.monsterboard.nl/finance-operations-analyst-maternity-cover-amsterdam-nh-nl-walters-people/222416598'
48,b'https://banen.monsterboard.nl/financial-business-reporting-analyst-leiden-zh-nl-fairplay-engineering/221669683'
49,b'https://banen.monsterboard.nl/freelance-data-analist-sociaal-domein-provincie-utrecht-provincie-utrecht-nl-steens-partners/c753ebe9-1358-4811-af59-78c6029ca849'
50,b'https://banen.monsterboard.nl/ict-held-voor-combi-programmeur-data-analist-baarn-nl-cooder-x-orange-peak-company/997701c1-f2ff-4efd-b162-5defc6ae9294'
51,b'https://banen.monsterboard.nl/indomo-analytics-data-director-amsterdam-nh-nl-ogilvy/8f57ebb2-94c8-4d90-8106-f9d5cdf34b77'
52,b'https://banen.monsterboard.nl/indomo-analytics-data-director-amsterdam-nl-groupm/5faef0ac-f8ca-49af-bd9e-728dae89ad79'
53,b'https://banen.monsterboard.nl/indomo-analytics-data-director-amsterdam-nl-mediacom/d90ea8c5-c344-4076-8de8-172149a73d11'
54,b'https://banen.monsterboard.nl/indomo-analytics-data-director-amsterdam-nl-the-exchange-lab/43b1228a-b34c-422d-ab3e-efb1aa35c6df'
55,b'https://banen.monsterboard.nl/indomo-senior-campaign-performance-analyst-amsterdam-nh-nl-ogilvy/e46c7b39-9572-4da6-acd0-5eedc2ef1d0d'
56,b'https://banen.monsterboard.nl/indomo-senior-campaign-performance-analyst-amsterdam-nl-groupm/42a0a50e-ea8c-4c94-88b8-432c6904d47e'
57,b'https://banen.monsterboard.nl/indomo-senior-campaign-performance-analyst-amsterdam-nl-mediacom/cb9caa33-88a6-449c-adcd-8b0b6057ef4f'
58,b'https://banen.monsterboard.nl/indomo-senior-campaign-performance-analyst-amsterdam-nl-the-exchange-lab/0032d69c-a4ab-4e9f-9412-32a60ef0c08b'
59,b'https://banen.monsterboard.nl/informatieanalist-maatschappelijk-verantwoord-semantisch-web-amsterdam-nh-nl-isense/222342740'
